Classifier 0: 001010010001100001100100 = 1 fitness,0]: 0.994897762544753 prediction,0]: 327.425157716919 error,0]: 109.38692608133157 fitness,1]: 0.994897762544753 prediction,1]: 0.0 error,1]: 0.0 Experience: 50 numerisity: 1 weight: ,"1, 0] position: ",1. 1.],right
Classifier 1: 001010010001100001100100 = 0 fitness,0]: 0.9481885843302913 prediction,0]: 76.18726452052344 error,0]: 60.64447496662939 fitness,1]: 0.9481885843302913 prediction,1]: 0.0 error,1]: 0.0 Experience: 28 numerisity: 1 weight: ,"1, 0] position: ",1. 1.],right
Classifier 2: 001010010001100001100100 = 5 fitness,0]: 0.851406311055971 prediction,0]: 6.7953410509651695 error,0]: 6.115806945868652 fitness,1]: 0.851406311055971 prediction,1]: 0.0 error,1]: 0.0 Experience: 18 numerisity: 1 weight: ,"1, 0] position: ",1. 1.],right
Classifier 0: 001010010001100001100100 = 2 fitness,0]: 0.6893275098709001 prediction,0]: 0.0 error,0]: 0.0 fitness,1]: 0.6893275098709001 prediction,1]: 0.0 error,1]: 0.0 Experience: 11 numerisity: 1 weight: ,"1, 0] position: ",1. 1.],wrong
Classifier 1: 001010010001100001100100 = 5 fitness,0]: 0.834895901173301 prediction,0]: 0.0 error,0]: 0.0 fitness,1]: 0.834895901173301 prediction,1]: 0.0 error,1]: 0.0 Experience: 17 numerisity: 1 weight: ,"1, 0] position: ",1. 1.],wrong
Classifier 2: 001010010001100001100100 = 0 fitness,0]: 0.9210312213538963 prediction,0]: 0.0 error,0]: 0.0 fitness,1]: 0.9210312213538963 prediction,1]: 0.0 error,1]: 0.0 Experience: 24 numerisity: 1 weight: ,"1, 0] position: ",1. 1.],wrong
Classifier 27: 001100100001100001100100 = 6 fitness,0]: 0.8916752007598029 prediction,0]: 0.0 error,0]: 0.0 fitness,1]: 0.8916752007598029 prediction,1]: 0.0 error,1]: 0.0 Experience: 21 numerisity: 1 weight: ,"1, 0] position: ",1. 4.],wrong
Classifier 28: 001100100001100001100100 = 3 fitness,0]: 0.8916752007598029 prediction,0]: 0.0 error,0]: 0.0 fitness,1]: 0.8916752007598029 prediction,1]: 0.0 error,1]: 0.0 Experience: 21 numerisity: 1 weight: ,"1, 0] position: ",1. 4.],wrong
Classifier 29: 001100100001100001100100 = 5 fitness,0]: 0.9025076806838226 prediction,0]: 0.0 error,0]: 0.0 fitness,1]: 0.9025076806838226 prediction,1]: 0.0 error,1]: 0.0 Experience: 22 numerisity: 1 weight: ,"1, 0] position: ",1. 4.],wrong
Classifier 3: 001100100001100001100100 = 1 fitness,0]: 0.9622294779767824 prediction,0]: 243.54026971642895 error,0]: 123.33740021254064 fitness,1]: 0.9622294779767824 prediction,1]: 0.0 error,1]: 0.0 Experience: 31 numerisity: 1 weight: ,"1, 0] position: ",1. 7.],right
Classifier 4: 001100100001100001100100 = 3 fitness,0]: 0.9122569126154403 prediction,0]: 39.127382953371594 error,0]: 33.15030230354717 fitness,1]: 0.9122569126154403 prediction,1]: 0.0 error,1]: 0.0 Experience: 23 numerisity: 1 weight: ,"1, 0] position: ",1. 7.],right
Classifier 5: 001100100001100001100100 = 5 fitness,0]: 0.9360352892966559 prediction,0]: 0.0 error,0]: 0.0 fitness,1]: 0.9360352892966559 prediction,1]: 0.0 error,1]: 0.0 Experience: 26 numerisity: 1 weight: ,"1, 0] position: ",1. 7.],right
Classifier 9: 010010011100100100100100 = 0 fitness,0]: 0.9122569126154403 prediction,0]: 150.6138561500346 error,0]: 90.21200730539353 fitness,1]: 0.9122569126154403 prediction,1]: 0.0 error,1]: 0.0 Experience: 23 numerisity: 1 weight: ,"1, 0] position: ",2. 1.],right
Classifier 10: 010010011100100100100100 = 4 fitness,0]: 0.9776968844505102 prediction,0]: 344.5901206612909 error,0]: 76.61535171441945 fitness,1]: 0.9776968844505102 prediction,1]: 0.0 error,1]: 0.0 Experience: 36 numerisity: 1 weight: ,"1, 0] position: ",2. 1.],right
Classifier 11: 010010011100100100100100 = 6 fitness,0]: 0.9424317603669903 prediction,0]: 138.12883882233982 error,0]: 94.83084148024166 fitness,1]: 0.9424317603669903 prediction,1]: 0.0 error,1]: 0.0 Experience: 27 numerisity: 1 weight: ,"1, 0] position: ",2. 1.],right
