x,y,actionList,predictionsList
0,0,0,"[0.01, 0.01, 0.01]"
0,1,0,"[0.01, 0.01, 0.01]"
0,2,0,"[0.01, 0.01, 0.01]"
0,3,0,"[0.01, 0.01, 0.01]"
0,4,0,"[0.01, 0.01, 0.01]"
0,5,0,"[0.01, 0.01, 0.01]"
0,6,0,"[0.01, 0.01, 0.01]"
0,7,0,"[0.01, 0.01, 0.01]"
0,8,0,"[0.01, 0.01, 0.01]"
0,9,0,"[0.01, 0.01, 0.01]"
0,10,0,"[0.01, 0.01, 0.01]"
0,11,0,"[0.01, 0.01, 0.01]"
0,12,0,"[0.01, 0.01, 0.01]"
0,13,0,"[0.01, 0.01, 0.01]"
0,14,0,"[0.01, 0.01, 0.01]"
0,15,0,"[0.01, 0.01, 0.01]"
0,16,0,"[0.01, 0.01, 0.01]"
0,17,0,"[0.01, 0.01, 0.01]"
0,18,0,"[0.01, 0.01, 0.01]"
0,19,0,"[0.01, 0.01, 0.01]"
1,0,0,"[0.01, 0.01, 0.01]"
1,1,0,"[0.01, 0.01, 0.01]"
1,2,1,"[-5.591148425745192, 0.01, 0.01]"
1,3,2,"[-9.776089274685487, -10.073507335926468, -9.531148375447419]"
1,4,0,"[-17.541377211551197, -17.662334860750974, -17.666723974187697]"
1,5,0,"[-18.780443751631047, -19.079013753379922, -18.935140637614253]"
1,6,0,"[-19.1518277602633, -19.205883818711897, -19.369309517204]"
1,7,1,"[-19.388976303453575, -19.387583736553996, -19.630081465426432]"
1,8,1,"[-19.845076771801818, -19.824041408610174, -19.970128941328365]"
1,9,1,"[-20.39897377022169, -20.237177833958427, -20.244891718701076]"
1,10,2,"[-20.68959075345576, -20.624021618267076, -20.606086413810868]"
1,11,2,"[-19.75012268928989, -19.710797966323767, -19.61644879504681]"
1,12,2,"[-18.805402377842377, -18.77440423359915, -18.550051518990365]"
1,13,2,"[-17.539660848050925, -17.52568804144818, -17.47019510006584]"
1,14,1,"[-16.142568914154825, -16.13047621713569, -16.227901301131205]"
1,15,0,"[0.01, 0.01, 0.01]"
1,16,0,"[0.01, 0.01, 0.01]"
1,17,0,"[0.01, 0.01, 0.01]"
1,18,0,"[0.01, 0.01, 0.01]"
1,19,0,"[0.01, 0.01, 0.01]"
2,0,0,"[0.01, 0.01, 0.01]"
2,1,0,"[0.01, 0.01, 0.01]"
2,2,2,"[-8.461637050192563, -7.699808796482277, -7.513639000129483]"
2,3,0,"[-14.295121799946802, -14.6822820374888, -14.414269269058817]"
2,4,0,"[-17.299438602782487, -17.442496431317664, -17.39664387211837]"
2,5,2,"[-18.074052693877242, -18.00815843597326, -17.974841700910712]"
2,6,0,"[-18.2092768884356, -18.27737198833281, -18.295652865157372]"
2,7,1,"[-18.655858710224173, -18.279528126487982, -18.454007081627815]"
2,8,2,"[-18.807060022755753, -18.80297021096013, -18.76823406960135]"
2,9,1,"[-18.584022941894986, -18.581205340425143, -18.650201154810436]"
2,10,1,"[-18.534409227401433, -18.430003785553147, -18.452396570951663]"
2,11,0,"[-18.123325079219217, -18.26994522901718, -18.405206595730803]"
2,12,2,"[-17.920941974577648, -17.856918940992518, -17.768919371698686]"
2,13,1,"[-17.382722169279674, -17.358807240889643, -17.36826331750128]"
2,14,0,"[-17.023318632774235, -17.076304267270856, -17.12653786876188]"
2,15,1,"[-16.281192253184336, -16.148144170252298, -16.182849256986437]"
2,16,0,"[-12.385673821384716, -12.572295724346185, -12.482771612185555]"
2,17,0,"[0.01, 0.01, 0.01]"
2,18,0,"[0.01, 0.01, 0.01]"
2,19,0,"[0.01, 0.01, 0.01]"
3,0,0,"[0.01, 0.01, 0.01]"
3,1,2,"[-8.964995992827632, -6.727235817467947, -4.511576870549861]"
3,2,1,"[-11.168432277193254, -10.467867598553855, -10.915205781292206]"
3,3,0,"[-15.11046930854956, -15.257973622118007, -15.290221400948866]"
3,4,0,"[-16.776511034193955, -16.880145706946532, -17.047146942783645]"
3,5,2,"[-17.94692684692162, -17.98640048865039, -17.835651667213913]"
3,6,0,"[-18.8682802283902, -18.99373281043255, -18.972153645887445]"
3,7,1,"[-19.88866645118647, -19.643666396253643, -20.000979833533496]"
3,8,0,"[-20.729839729324894, -20.734414277799413, -20.785618047189047]"
