x,y,actionList,predictionsList
0,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,2,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,3,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,4,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,5,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,6,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,7,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,8,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,9,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,10,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,11,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,12,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,13,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,14,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,15,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,16,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,17,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,18,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,2,1,"[-4.573741999209636, 0.009999999999999998, -7.569525364125624]"
1,3,0,"[-7.967024830581721, -9.327409803381292, -8.099412629168496]"
1,4,0,"[-13.336139069054951, -13.46910375031117, -13.46504505159773]"
1,5,0,"[-15.172119611683023, -15.29923074769388, -15.26934806162132]"
1,6,1,"[-15.598197486572955, -15.452402200424412, -15.604874578112504]"
1,7,1,"[-15.767561559348072, -15.609145616213446, -15.71437049013397]"
1,8,2,"[-15.73267082566962, -15.735344178181386, -15.725229232310589]"
1,9,1,"[-16.092647874912373, -15.90398547711722, -15.995842033785765]"
1,10,2,"[-16.841852458529818, -16.711422100082117, -16.564216453659583]"
1,11,2,"[-15.812712483678323, -15.620166642910291, -15.387994507088244]"
1,12,1,"[-14.893325444473767, -14.574339960844654, -14.603497414616125]"
1,13,1,"[-14.534196388130528, -14.354017931144698, -14.401129619735745]"
1,14,1,"[-13.522592448402097, -13.440446216488603, -13.595504383935403]"
1,15,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,16,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,17,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,18,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
2,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
2,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
2,2,0,"[-3.7426020786037584, -6.145930463813927, -6.579123578817568]"
2,3,0,"[-11.125256809354791, -11.257227663183327, -11.298187919363865]"
2,4,0,"[-13.915230726104953, -14.017689419555534, -13.990926386097874]"
2,5,0,"[-14.427424446546267, -14.607032742835116, -14.687078897262257]"
2,6,1,"[-14.88829140248426, -14.665673654302026, -14.847873390500425]"
2,7,1,"[-15.212692744590816, -15.048955762612099, -15.151379753327603]"
2,8,1,"[-15.307598077502181, -15.249545800756398, -15.275318074184039]"
2,9,1,"[-15.494154583907195, -15.392004267873148, -15.44402625712367]"
2,10,1,"[-15.601168278600412, -15.59655816341118, -15.62668959198409]"
2,11,1,"[-15.241468935159629, -15.239519553976901, -15.264235404775683]"
2,12,2,"[-14.69698260403744, -14.628582373336137, -14.523475468781584]"
2,13,0,"[-14.321470766134443, -14.537631759596085, -14.589944328273202]"
2,14,2,"[-13.98820847834526, -13.948191529882955, -13.803900014993154]"
2,15,2,"[-13.146086551982055, -13.010200524913481, -12.707911754628427]"
2,16,0,"[-9.452009723042929, -9.639734215015771, -9.670273371948845]"
2,17,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
2,18,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
2,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
3,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
3,1,1,"[-2.9762797580279043, 0.009999999999999998, 0.009999999999999998]"
3,2,1,"[-7.73783029385401, -7.4633025396800114, -9.150567185675488]"
3,3,1,"[-12.295526009190997, -12.038374462239346, -12.55123479564704]"
3,4,0,"[-13.630884308696448, -13.746969585224683, -13.645476503607384]"
3,5,2,"[-14.913643391989375, -14.982740437122363, -14.891258869630805]"
3,6,2,"[-15.982759206086682, -15.859404349095929, -15.680735120778383]"
3,7,1,"[-16.82222693858894, -16.78541837679159, -16.800406174263433]"
3,8,2,"[-17.489481036358598, -17.451056698386225, -17.450391267624937]"
